Author,Redshift ,,,CC Rate,Statistical Error,,Systematic Error,,AGN ,,Indicator,Extinction,Other Calibration Factors,,Cosmology Assumptions,,,Number of CCSNe,Notes
,z,min,max,(1e-4 yr^-1*Mpc^-1),(+) ƒÂ,(-) ƒÂ,(+) ƒÂ,(-) ƒÂ,,,,,Metallicity,IMF,H0,ƒ¶m,ƒ¶ƒ©,,
Dahlen et al. 2004,,0.1,0.5,2.85,1,0.85,0.85,2.11,N,,Optical,Y,N,Sal,73,0.3,0.7,6,
,,0.5,0.9,4.49,1.17,1.2,2.18,2.95,N,,Optical,Y,N,Sal,73,0.3,0.7,10,
Capellaro et al. 2005,0.26,,,1.81,0.91,0.79,,,Y,,Optical,N,N,Sal,73,0.3,0.7,19.5,Rate per B-band luminosity to volumetric rate conversion used by Bazin et al. (2009)
Botticella et al. 2008,0.21,,,1.31,0.49,0.37,0.48,0.41,Y,,Optical,Y,N,SalA,73,0.3,0.7,117,Includes the CC SN sample of Cappellaro et al. (2005)
Bazin et al. 2009,0.3,,,1.85,0.34,0.34,0.34,0.34,Y,,Optical,Y,N,?,73,0.3,0.7,46.1,
Li et al. 2011,0,,,0.705,0.099,0.097,0.164,0.149,N,,Optical,N,N,?,73,0.3,0.7,440,
Graur et al. 2011,0.66,,,6.9,9.9,5.4,,,Y,,Optical + NIR,Y,N,Diet Sal,70,0.3,0.7,8.7,
Mattila et al. 2012,0,,,1.5,0.4,0.3,,,Y,,Optical,Y,N,Sal,70,0.3,0.7,24,"I think it's optical, but not entirely sure"
Melinder et al. 2012,0.39,0.1,0.5,3.29,3.08,1.78,1.98,1.45,Y,,Optical + NIR,Y,N,Sal,70,0.3,0.7,3.28,Numbers when accounting for redshift uncertainty
,0.73,0.5,0.9,6.4,5.3,3.12,3.65,2.11,Y,,Optical + NIR,Y,N,Sal,70,0.3,0.7,3.27,
Dahlen et al. 2012,0.39,0.1,0.5,3,1.28,0.94,1.04,0.57,N,,Optical,Y,N,Sal,70,0.3,0.7,9,
,0.73,0.5,0.9,7.39,1.86,1.52,3.2,1.6,N,,Optical,Y,N,Sal,70,0.3,0.7,25,
,1.11,0.9,1.3,9.57,3.76,2.8,4.96,2.8,N,,Optical,Y,N,Sal,70,0.3,0.7,11,
Taylor et al. 2014,0.072,0.063,0.081,1.06,0.19,0.19,,,Y,,Optical,Y,N,?,70,?,?,98.55,89 + corrections to get 98.55
Graur et al. 2015,0.075,,,1.04,0.33,0.26,0.04,0.11,Y,,Optical,Y,N,Diet Sal,70,0.3,0.7,16,
Capellaro et al. 2015,,0.05,0.15,1.13,0.62,0.53,0.49,0.49,Y,,Optical + NIR,Y,N,Sal + SalA,70,0.3,0.7,5.9,
,,0.15,0.35,1.21,0.27,0.27,0.47,0.47,Y,,Optical + NIR,Y,N,Sal + SalA,70,0.3,0.7,26.2,
Strolger et al. 2015,0.3,0.1,0.5,1.97,1.45,0.85,,,N,,Optical,Y,N,Sal,70,0.27,0.73,9.8,
,0.7,0.5,0.9,2.68,1.54,1.04,,,N,,Optical,Y,N,Sal,70,0.27,0.73,15.6,
,1.1,0.9,1.3,1.7,1.19,0.71,,,N,,Optical,Y,N,Sal,70,0.27,0.73,6.6,
,1.5,1.3,1.7,3.25,2.03,1.32,,,N,,Optical,Y,N,Sal,70,0.27,0.73,6.4,
,1.9,1.7,2.1,3.16,3.37,1.77,,,N,,Optical,Y,N,Sal,70,0.27,0.73,3,
,2.3,2.1,2.5,6.17,6.76,3.52,,,N,,Optical,Y,N,Sal,70,0.27,0.73,2.7,
Frohmaier et al. 2020,0.028,,,0.91,0.16,0.13,,,N,,Optical,Y,N,?,70,0.3,0.7,86,
